Char	Precision	Recall
a	0.94		0.92
b	0.92		0.90
c	0.85		0.94
d	0.95		0.89
e	0.93		0.87
f	0.92		0.92
g	0.97		0.83
h	0.93		0.91
i	0.93		0.90
j	0.97		0.95
k	0.91		0.93
l	0.89		0.89
m	0.93		0.96
n	0.95		0.90
o	0.88		0.95
p	0.96		0.95
q	0.93		0.94
r	0.86		0.91
s	0.84		0.95
t	0.92		0.91
u	0.89		0.93
v	0.93		0.92
w	0.97		0.94
x	0.88		0.97
y	0.95		0.91
z	0.96		0.93
