Char	Precision	Recall
a	0.95		0.91
b	0.91		0.92
c	0.86		0.92
d	0.94		0.90
e	0.91		0.89
f	0.76		0.97
g	0.96		0.86
h	0.95		0.89
i	0.94		0.80
j	0.96		0.93
k	0.93		0.93
l	0.80		0.90
m	0.96		0.94
n	0.95		0.91
o	0.87		0.93
p	0.94		0.96
q	0.94		0.94
r	0.94		0.86
s	0.82		0.95
t	0.92		0.89
u	0.95		0.92
v	0.96		0.87
w	0.96		0.94
x	0.91		0.96
y	0.91		0.94
z	0.94		0.93
