SpotID,SpotArea,MeanIntensity,TotalIntensity
205,20,7076.85,141537
206,5,13025.8,65129
207,17,13794.7647058824,234511
208,25,13603.04,340076
209,14,8825.57142857143,123558
210,13,11645.4615384615,151391
211,19,7572.31578947368,143874
212,7,8501.14285714286,59508
213,11,5922.81818181818,65151
214,17,13260.4117647059,225427
215,12,3673.5,44082
216,6,4098.83333333333,24593
217,30,8655.76666666667,259673
218,16,11882.4375,190119
219,13,9091.07692307692,118184
220,10,10149.5,101495
221,17,8089.94117647059,137529
222,17,6494.17647058824,110401
223,5,6852.4,34262
224,13,8415,109395
225,14,6948,97272
226,2,6077.5,12155
227,7,7208.14285714286,50457
228,13,9347.61538461538,121519
229,8,8367.25,66938
230,8,6796.75,54374
231,24,11722.2083333333,281333
232,7,8172.57142857143,57208
233,16,7671.6875,122747
234,23,5697.26086956522,131037
235,15,7616.86666666667,114253
236,2,3511,7022
237,19,9113.26315789474,173152
238,8,11518.375,92147
239,6,5861.66666666667,35170
240,9,7232.44444444444,65092
241,7,4549.57142857143,31847
242,10,5278.5,52785
243,6,4066.5,24399
244,7,4183.57142857143,29285
245,10,6253.4,62534
246,7,4396.28571428571,30774
